"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4739685058594","91.5802001953125","97.5565338134766","100.163063049316","101.929069519043","100.940940856934","99.2053527832031","99.8657531738281","106.236473083496","97.0627517700195","97.9976272583008","98.2207412719727","96.633918762207","108.976188659668","","","","","","137.829788208008","139.320587158203","135.124725341797","123.625907897949","131.802169799805","","124.379366731084","",
"Africa Eastern and Southern","AFE","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","16.8848991394043","16.1438903808594","16.9476795196533","17.1273708343506","17.2605495452881","17.8118801116943","17.8740692138672","18.3465805053711","18.949649810791","19.5662002563477","20.37034034729","21.0441398620606","21.8070297241211","22.352689743042","22.9280109405518","23.5769100189209","23.6898307800293","24.0443096160889","24.2764701843262","24.0915794372559","24.2189292907715","24.6175899505615","24.4192504882812","24.6954898834229","25.0056095123291","25.7894802093506","26.1036396026611","26.4752101898193","27.3343696594238","27.5691108703613","27.7371292114258","28.7891101837158","29.4754505157471","30.0984306335449","31.5510196685791","32.5553398132324","34.0642395019531","35.4449501037598","36.8555488586426","37.9614715576172","38.864860534668","39.4915084838867","40.5120582580566","41.1352310180664","42.2156600952148","42.2618598937988","42.6814994812012","43.2540893554688","43.5594100952148","44.1287307739258","44.682559967041","45.1505317687988","45.2816200256348","45.1553916931152","45.6060791015625","",
"Afghanistan","AFG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","8.36410045623779","9.37827014923096","10.4142398834228","10.9321804046631","11.0948801040649","11.5955896377563","12.4582595825195","13.2592697143555","13.8213396072388","","16.732780456543","20.0920791625977","12.295000076294","","13.6493997573853","13.4969701766968","12.1385698318481","","13.2139596939087","12.6811199188232","11.0395498275757","17.1836109161377","","17.4169101715088","23.4685802459717","23.0545196533203","","","","","","14.0404100418091","","13.959529876709","19.2143802642822","20.2735099792481","29.523889541626","28.8154907226562","38.930850982666","44.2999496459961","50.4406204223633","52.4474296569824","54.372859954834","54.8833694458008","54.2936515808105","53.1501083374023","53.4350395202637","55.5364303588867","57.3578491210938","","","","","59.6136016845703","","",
"Africa Western and Central","AFW","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","7.98661994934082","8.21300029754639","8.65359973907471","9.16162967681885","9.45987033843994","9.91619968414307","10.4410495758057","11.0622701644897","12.1180200576782","13.332329750061","15.0003299713135","16.9752101898193","18.9348602294922","20.9244003295898","22.6107006072998","22.8133296966553","21.5825500488281","21.5655994415283","21.2176399230957","20.1980400085449","20.4625606536865","20.5557498931885","20.6794700622559","20.7306098937988","20.7932205200195","20.8791694641113","20.9238700866699","20.9066505432129","21.0443801879883","21.3046798706055","22.3391399383545","23.9813995361328","25.3692607879639","27.1360893249512","28.7706794738769","29.5611190795898","29.8653297424316","30.1015605926514","32.6177215576172","35.1795806884766","38.3284301757812","40.1716804504395","41.6457786560059","46.4255905151367","42.5117301940918","43.7089309692383","42.3061790466309","42.4331703186035","42.7145614624023","43.9062690734863","44.7343406677246","45.5674285888672","45.6372985839844","46.4422416687012","46.3004913330078","",
"Angola","AGO","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","6.15856981277466","6.82846021652222","7.66084003448486","","","","","8.47220039367676","","10.8339395523071","13.9767599105835","9.97611999511719","9.17257976531982","11.5424299240112","9.99211025238037","11.4603796005249","11.1706104278565","9.44001007080078","10.4483404159546","9.64206981658936","10.1731996536255","11.4410495758057","","","","","","11.8974800109863","11.7708902359009","13.3690700531006","15.0013399124146","16.1495990753174","","","","","","22.7990207672119","24.3320198059082","28.2108038778932","29.6869517832747","","","","","54.4167987304753","","","","","53.1351542727131","","51.4839046246776","","",
"Albania","ALB","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","81.7418594360352","","83.4210205078125","85.4385528564453","87.4630508422852","88.3687286376953","84.1934280395508","78.9021987915039","78.7036895751953","81.3915786743164","84.6373901367188","84.9363708496094","86.8583068847656","87.7146911621094","90.8411865234375","93.7076873779297","80.463737487793","72.5160827636719","70.497673034668","70.0542678833008","68.9900970458984","69.0590515136719","70.3278579711914","70.4011001586914","70.3186492919922","72.4845733642578","74.5389175415039","77.751823425293","78.9801864624023","82.9714279174805","84.3257675170898","86.2188568115234","87.8338394165039","89.3157196044922","93.6818237304688","95.4705276489258","97.6086120605469","102.903209514161","103.321377531566","102.440729325166","99.170755047578","97.5743697537481","98.822387862215","99.01515356567","95.9294474518951","97.665033031442","97.3224714726407","96.1368771236947","108.355392456055","",
"Andorra","AND","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","23.6061305999756","21.6661701202393","19.5792407989502","23.8222694396973","34.9425888061523","45.4616203308105","","","","","","","61.8485717773438","","","","","","","","","","","","","","","","","","","82.2911224365234","82.7032623291016","79.4815368652344","85.7897186279297","85.0033187866211","82.4481887817383","82.1809616088867","82.6435775756836","85.1478881835938","85.8587875366211","86.870361328125","86.4044036865234","88.978157043457","91.2962188720703","94.6524124145508","95.1090393066406","95.9804306030273","96.2081298828125","97.1500396728516","98.0404205322266","98.5098724365234","99.5086517333984","101.923820495605","",
"Arab World","ARB","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","37.2041091918945","33.9620399475098","34.1434211730957","34.8604316711426","35.5096588134766","36.6606903076172","38.052661895752","39.8356018066406","41.4048614501953","33.1569709777832","43.4109802246094","44.1123504638672","45.4540481567383","46.3324012756348","47.3159294128418","48.4849891662598","50.0637817382812","50.805290222168","50.9879608154297","51.5518798828125","54.0517387390137","54.1323509216309","53.1566009521484","53.5955200195312","55.2493782043457","55.2427101135254","54.6554298400879","55.859058380127","57.2500610351562","58.1433410644531","59.2162818908691","60.4908599853516","61.2261085510254","62.7699584960938","64.0756912231445","63.4458312988281","63.5213584899902","62.4767303466797","62.5955390930176","64.5199203491211","64.951042175293","66.7186431884766","67.1283721923828","65.3426971435547","65.7318267822266","66.154541015625","66.4599990844727","66.9350433349609","67.0554885864258","67.3800735473633","67.2821731567383","68.0012435913086","69.4561386108398","68.6525421142578","68.8945465087891","",
"United Arab Emirates","ARE","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","12.7587900161743","15.0365400314331","15.7375001907349","15.0065202713013","19.1164798736572","29.7107391357422","31.655460357666","33.5856018066406","38.5720100402832","45.0272483825684","51.0481910705566","54.9244384765625","57.8344612121582","61.3924903869629","63.914421081543","65.8701934814453","55.8296508789062","52.6680793762207","52.7465286254883","54.8809394836426","59.1981887817383","62.9990081787109","67.7818832397461","73.9902572631836","78.7334899902344","","68.000617980957","62.6474304199219","","","","","","","","","","","","","","","","","","","","102.184448242188","101.747344264722","99.1635400791877","103.210663324826","102.380981445312","101.944972436447","102.129724902444","",
"Argentina","ARG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","44.4310989379883","45.5424003601074","47.4634094238281","49.8359298706055","52.5121002197266","54.0673713684082","55.4148712158203","55.1345100402832","55.0469398498535","55.0656509399414","56.1840209960938","57.6031494140625","59.5750198364258","60.4059982299805","65.9580993652344","70.6447067260742","70.5317306518555","70.3070983886719","70.9180603027344","","72.95556640625","74.1312637329102","","","70.8677520751953","","78.4926071166992","74.4772796630859","80.6520309448242","92.2904663085938","96.2141189575195","97.6240463256836","96.9965667724609","96.0464477539062","95.4575576782227","93.6376724243164","92.4075775146484","92.1874084472656","93.183219909668","96.4056777954102","99.0709991455078","100.884559631348","102.709991455078","104.540863037109","106.038902282715","107.504867553711","109.598327636719","110.377799987793","109.671241760254","110.460151672363","112.376731872559","115.735778808594","114.14811706543","105.574584297051","","",
"Armenia","ARM","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.2821502685547","89.9987030029297","91.9980621337891","91.6731719970703","","82.2040481567383","80.2212219238281","68.4525375366211","71.0547409057617","86.0512008666992","86.7833099365234","","","88.6511611938477","92.0563430786133","95.2676467895508","96.8182601928711","96.5329437255859","102.957763671875","107.732391357422","94.8774032592773","","86.8721923828125","86.5204010009766","86.442138671875","","","83.0249410833595","86.8260633029699","88.5080298201293","91.4853735120921","91.7106609922965","89.4111027634947","90.9458714101262","",
"American Samoa","ASM","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.9892120361328","90.399787902832","92.405387878418","93.4581832885742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","80.4261016845703","54.3338813781738","74.3965530395508","69.2664031982422","74.1420516967773","76.4063491821289","64.365478515625","","","","","","","","","","","","","","98.3675537109375","","","","","","","","80.2067489624023","","","","","","","112.227951049805","122.261581420898","118.682388305664","115.466743469238","116.185371398926","117.228363037109","","115.270439147949","117.55770111084","","117.209930419922","121.685249328613","","","","107.799908772997","108.880778588808","","",
"Australia","AUS","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159.110763549805","155.594390869141","153.576126098633","136.105545043945","144.056564331055","137.490737915039","135.526565551758","133.277267456055","134.099243164062","131.931564331055","",
"Austria","AUT","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.8608627319336","98.9512710571289","99.3974533081055","99.2856369018555","100.199432373047","100.416679382324","100.102569580078","100.126129150391","100.594093322754","100.263969421387","99.6729583740234","100.108726501465","101.173210144043","101.304809570312","101.411582946777","100.227989196777","100.337898254395","100.692596435547","101.543632507324","101.690559387207","102.307662963867","101.458000183105","100.504371643066","100.622657775879","",
"Azerbaijan","AZE","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.0853181521079","82.9176205382172","82.762274922741","83.1376553563209","83.4386600193183","84.8098586425184","86.5856935803605","89.2625164667822","108.488781124","107.863960509557","91.365513501165","91.4106367606057","90.9530364179442","92.7402972401367","91.1228035886648","",
"Burundi","BDI","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","1.69605004787445","1.7769900560379","1.39962005615234","1.73073995113373","2.09219002723694","2.27378988265991","2.24475002288818","2.37529993057251","2.46285009384155","2.4968900680542","2.73457002639771","2.89607000350952","2.75788998603821","2.91128993034363","3.18098998069763","3.38247990608215","3.73199009895325","3.90317010879517","4.30228996276855","4.60391998291016","5.19403982162476","5.52936983108521","6.10045003890991","","","","","","","","9.41998958587646","9.92739963531494","10.2563495635986","11.8093099594116","12.9770698547363","14.3381099700928","15.3361196517944","","20.8934001922607","23.7647094726562","26.7943801879883","29.5732898712158","34.2124507321275","40.2641258748146","43.9351929825496","47.4715342848197","48.2243487332289","46.330394174756","41.8352417514484","44.9151717353101","","","","","23.1256008148193",
